id,r_id,x,y,z,xr,yr,zr,time
221,0,1.398,0.823,1.014,0,0,0,5242
222,0,1.398,0.823,1.014,0,0,0,5253
223,0,1.398,0.823,1.014,0,0,0,5281
224,0,1.398,0.823,1.014,0,0,0,5298
225,0,1.398,0.823,1.014,0,0,0,5308
226,0,1.398,0.823,1.014,0,0,0,5320
227,0,1.398,0.823,1.014,0,0,0,5332
228,0,1.398,0.823,1.014,0,0,0,5343
229,0,1.398,0.823,1.014,0,0,0,5354
230,0,1.398,0.823,1.014,0,0,0,5365
231,0,1.398,0.823,1.014,0,0,0,5376
232,0,1.398,0.823,1.014,0,0,0,5388
233,0,1.398,0.823,1.014,0,0,0,5399
234,0,1.398,0.823,1.014,0,0,0,5412
235,0,1.398,0.823,1.014,0,0,0,5440
236,0,1.398,0.823,1.014,0,0,0,5451
237,0,1.398,0.823,1.014,0,0,0,5461
238,0,1.398,0.823,1.014,0,0,0,5479
239,0,1.398,0.823,1.014,0,0,0,5497
240,0,1.398,0.823,1.014,0,0,0,5509
241,0,1.398,0.823,1.014,0,0,0,5518
242,0,1.398,0.823,1.014,0,0,0,5530
243,0,1.398,0.823,1.014,0,0,0,5542
244,0,1.398,0.823,1.014,0,0,0,5553
245,0,1.398,0.823,1.014,0,0,0,5565
246,0,1.398,0.823,1.014,0,0,0,5594
247,0,1.398,0.823,1.014,0,0,0,5606
248,0,1.398,0.823,1.014,0,0,0,5617
249,0,1.398,0.823,1.014,0,0,0,5628
250,0,1.398,0.823,1.014,0,0,0,5641
251,0,1.398,0.823,1.014,0,0,0,5653
252,0,1.398,0.823,1.014,0,0,0,5666
253,0,1.398,0.823,1.014,0,0,0,5680
254,0,1.398,0.823,1.014,0,0,0,5691
255,0,1.398,0.823,1.014,0,0,0,5703
256,0,1.398,0.823,1.014,0,0,0,5715
257,0,1.398,0.823,1.014,0,0,0,5726
258,0,1.398,0.823,1.014,0,0,0,5751
259,0,1.398,0.823,1.014,0,0,0,5761
260,0,1.398,0.823,1.014,0,0,0,5771
261,0,1.398,0.823,1.014,0,0,0,5782
262,0,1.398,0.823,1.014,0,0,0,5794
263,0,1.398,0.823,1.014,0,0,0,5803
264,0,1.398,0.823,1.014,0,0,0,5813
265,0,1.398,0.823,1.014,0,0,0,5822
266,0,1.398,0.823,1.014,0,0,0,5831
267,0,1.398,0.823,1.014,0,0,0,5839
268,0,1.398,0.823,1.014,0,0,0,5848
269,0,1.398,0.823,1.014,0,0,0,5860
270,0,1.398,0.823,1.014,0,0,0,5871
271,0,1.398,0.823,1.014,0,0,0,5881
272,0,1.398,0.823,1.014,0,0,0,5922
273,0,1.398,0.823,1.014,0,0,0,5936
274,0,1.398,0.823,1.014,0,0,0,6012
